"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000067818.7",5.80975656747449,6.61522682987006,360.708766234184,1.98646102518718e-06,0.000402094598619225
"ENSMUSG00000020000.8",-7.77380008888723,5.33218668713634,359.141909032031,2.01125362738894e-06,0.000402094598619225
"ENSMUSG00000034981.10",-3.14475971587784,5.10705609701726,358.204977201691,2.02627813810954e-06,0.000402094598619225
"ENSMUSG00000030587.6",3.15107379442933,4.52548864251981,357.414632375064,2.03906970485926e-06,0.000402094598619225
"ENSMUSG00000048826.8",-6.50141023629305,2.41849011849605,357.394422075484,2.03939822791628e-06,0.000402094598619225
"ENSMUSG00000063011.8",-5.73022021150926,5.05992851998248,356.204545105347,2.05886620598962e-06,0.000402094598619225
"ENSMUSG00000022602.15",3.85423732222785,3.55878163757428,355.801768141408,2.06551283511417e-06,0.000402094598619225
"ENSMUSG00000024713.17",6.97999878539938,4.07137262697757,346.712618266839,2.22350432783505e-06,0.00042238030697385
"ENSMUSG00000031740.9",2.94212099888608,9.25684538514288,345.258946814528,2.25026733728063e-06,0.00042238030697385
"ENSMUSG00000027832.6",8.1314711308516,4.35563780740516,344.113998041562,2.2716526755095e-06,0.00042238030697385
"ENSMUSG00000025855.14",5.48800709042784,3.88393609723882,344.104962611783,2.27182252496964e-06,0.00042238030697385
"ENSMUSG00000029810.16",-4.24634082644942,6.07228089313851,341.217423099335,2.32699060745128e-06,0.000427830150905515
"ENSMUSG00000022610.11",-2.65104796585777,4.61732336691278,339.690957421867,2.35688469591067e-06,0.000428564517178394
"ENSMUSG00000038721.9",-5.90076282375714,3.94842995496837,331.475046302548,2.52699529441196e-06,0.000450726816276998
"ENSMUSG00000049690.16",-3.80075277073398,4.38042243546318,331.18749106277,2.53324432910865e-06,0.000450726816276998
"ENSMUSG00000037411.11",4.43573818766841,8.31051209909166,327.909708754385,2.60596868456678e-06,0.000458108790613917
"ENSMUSG00000042821.8",4.20337817029097,3.49459956042287,326.848988465427,2.63010425505059e-06,0.000458108790613917
"ENSMUSG00000087691.2",-7.95662003673508,2.89625179975278,323.405820647919,2.71055501697157e-06,0.000462488592252601
"ENSMUSG00000039419.18",-6.21532115116637,3.27269242352092,323.380884553333,2.71114966147956e-06,0.000462488592252601
"ENSMUSG00000041571.11",2.75851190499655,6.59824758076944,319.813115279475,2.79807180636769e-06,0.000472024849057986
"ENSMUSG00000020098.8",9.30561896058917,3.08936993605203,318.773503779974,2.82410467497073e-06,0.000472024849057986
"ENSMUSG00000064373.14",-2.77799771357544,8.88076043242254,315.013968102765,2.92101533788623e-06,0.000483340407960035
"ENSMUSG00000038178.17",2.71892159119363,4.44933327901663,312.335362165665,2.99281094677866e-06,0.000490317254815312
"ENSMUSG00000002985.17",3.94755528745702,3.48340840133613,308.882118404725,3.08891907668736e-06,0.000501101411391626
"ENSMUSG00000039323.19",4.66719963159023,10.5947072695048,294.184032139463,3.54792736099707e-06,0.000564808618311135
"ENSMUSG00000032011.6",4.56271970035209,5.92050266043317,292.921435792944,3.59153773181681e-06,0.000564808618311135
"ENSMUSG00000035722.16",-2.08377620531635,6.01528542495123,290.946344214485,3.6612170622581e-06,0.000564808618311135
"ENSMUSG00000031387.15",-3.70331441081899,3.4670237141124,290.617610983844,3.67299068078426e-06,0.000564808618311135
"ENSMUSG00000039114.17",2.46079075606701,5.7685450111524,290.614653963565,3.67309681793835e-06,0.000564808618311135
"ENSMUSG00000028073.16",2.67042458734467,4.67839638900681,290.24414309768,3.68642840258673e-06,0.000564808618311135
"ENSMUSG00000038193.5",5.33557228176975,4.99446445996484,288.285103642796,3.7580114932879e-06,0.000570493726416833
"ENSMUSG00000036553.17",-2.88700019317351,4.97462153292096,285.260864481107,3.87223779420355e-06,0.00057090628560828
"ENSMUSG00000025105.11",-3.48183323158086,6.06874879737512,282.429191916703,3.983467930089e-06,0.00057090628560828
"ENSMUSG00000078234.7",3.88504716072905,2.93736524816556,282.40869960826,3.98428846318833e-06,0.00057090628560828
"ENSMUSG00000054889.11",-5.77708707520141,7.10480427500391,282.137779065614,3.99515781985669e-06,0.00057090628560828
"ENSMUSG00000026748.14",4.62331000219124,6.15225278025897,280.072611002599,4.07933914367307e-06,0.00057090628560828
"ENSMUSG00000030064.17",-2.47902829394303,4.77605012798778,279.208629206429,4.11526587046573e-06,0.00057090628560828
"ENSMUSG00000036377.20",5.26256233957651,3.9390078037175,277.156613285127,4.20231844795173e-06,0.00057090628560828
"ENSMUSG00000024663.21",-3.92968759704855,2.81167770345789,276.840121121656,4.21596502531206e-06,0.00057090628560828
"ENSMUSG00000063450.15",-2.28746077936927,8.73662806991812,275.310189044283,4.28278107018136e-06,0.00057090628560828
"ENSMUSG00000033327.19",-5.02746008644731,7.73144838010516,274.733555959199,4.30833396007086e-06,0.00057090628560828
"ENSMUSG00000028194.16",2.36973599517262,7.22550830388622,274.350783910743,4.32540954176555e-06,0.00057090628560828
"ENSMUSG00000053897.16",-3.36573087074013,5.6651803376877,274.321750354748,4.32670845248277e-06,0.00057090628560828
"ENSMUSG00000053199.14",7.04285494369329,3.84857763211776,272.968373366606,4.38784348398955e-06,0.00057090628560828
"ENSMUSG00000034235.18",-2.8312328502988,6.34103224281099,272.182228286434,4.42389013657657e-06,0.00057090628560828
