"","ENSEMBL","ENTREZID"
"284","ENSMUSG00000074793","72630"
"285","ENSMUSG00000048096","93689"
"286","ENSMUSG00000027208","14178"
"287","ENSMUSG00000025885","17919"
"288","ENSMUSG00000048458","109050"
"289","ENSMUSG00000026343","71111"
"290","ENSMUSG00000023064","20618"
"291","ENSMUSG00000035273","15442"
"292","ENSMUSG00000031253","68792"
"294","ENSMUSG00000038732","218121"
"295","ENSMUSG00000035184","629059"
"296","ENSMUSG00000028664","13844"
"297","ENSMUSG00000030268","12035"
"298","ENSMUSG00000038235","16456"
"299","ENSMUSG00000030835","211548"
"300","ENSMUSG00000029380","14825"
"302","ENSMUSG00000078794","629378"
"303","ENSMUSG00000029648","14254"
"304","ENSMUSG00000031438","66889"
"305","ENSMUSG00000054196","68588"
"306","ENSMUSG00000031467","52123"
"307","ENSMUSG00000020122","13649"
"308","ENSMUSG00000021750","268709"
"309","ENSMUSG00000052726","240776"
"310","ENSMUSG00000057719","269016"
"311","ENSMUSG00000027533","16592"
"312","ENSMUSG00000039976","207592"
"313","ENSMUSG00000038119","57810"
"314","ENSMUSG00000021990","219140"
"315","ENSMUSG00000028007","76561"
"316","ENSMUSG00000004952","54153"
"317","ENSMUSG00000037855","216049"
"318","ENSMUSG00000031217","13641"
"319","ENSMUSG00000018474","216848"
"320","ENSMUSG00000022483","12824"
"321","ENSMUSG00000013089","104156"
"322","ENSMUSG00000061731","14042"
"323","ENSMUSG00000008734","64297"
"324","ENSMUSG00000039450","67880"
"325","ENSMUSG00000028542","14664"
"326","ENSMUSG00000054850","320237"
"327","ENSMUSG00000038146","18131"
"329","ENSMUSG00000035000","13482"
"330","ENSMUSG00000014158","63873"
"331","ENSMUSG00000045667","276829"
"332","ENSMUSG00000023191","14789"
"333","ENSMUSG00000019139","71780"
"334","ENSMUSG00000095115","319622"
"335","ENSMUSG00000018339","14778"
"336","ENSMUSG00000027188","210622"
"337","ENSMUSG00000000567","20682"
"338","ENSMUSG00000021728","13723"
"339","ENSMUSG00000029217","21682"
"340","ENSMUSG00000016194","15483"
"341","ENSMUSG00000024150","193813"
"342","ENSMUSG00000008384","55942"
"343","ENSMUSG00000019970","20393"
"344","ENSMUSG00000037362","18133"
"345","ENSMUSG00000052397","22350"
"346","ENSMUSG00000022146","18414"
"347","ENSMUSG00000022096","15460"
"348","ENSMUSG00000031870","18667"
"349","ENSMUSG00000030513","18553"
"350","ENSMUSG00000026768","241226"
"351","ENSMUSG00000031068","30926"
"352","ENSMUSG00000032925","223272"
"353","ENSMUSG00000037370","18605"
"354","ENSMUSG00000029446","100678"
"355","ENSMUSG00000068696","64378"
"356","ENSMUSG00000060600","13808"
"357","ENSMUSG00000003623","74114"
"358","ENSMUSG00000062275","382106"
"359","ENSMUSG00000040714","232943"
"360","ENSMUSG00000021495","212483"
"361","ENSMUSG00000005611","17540"
"362","ENSMUSG00000029832","18025"
"363","ENSMUSG00000036885","622434"
"364","ENSMUSG00000027630","81004"
"365","ENSMUSG00000034275","235086"
"366","ENSMUSG00000044337","12778"
"367","ENSMUSG00000051043","70355"
"368","ENSMUSG00000022974","67367"
"369","ENSMUSG00000029377","13874"
"370","ENSMUSG00000028226","17389"
"372","ENSMUSG00000032313","244886"
"373","ENSMUSG00000066842","545370"
"374","ENSMUSG00000005357","20513"
"375","ENSMUSG00000037336","432628"
"376","ENSMUSG00000049404","109222"
"378","ENSMUSG00000038473","70729"
"379","ENSMUSG00000090084","51795"
"380","ENSMUSG00000034853","329910"
"382","ENSMUSG00000031673","12552"
"383","ENSMUSG00000029162","16548"
"384","ENSMUSG00000032715","228775"
"385","ENSMUSG00000021703","218442"
"386","ENSMUSG00000005672","16590"
"387","ENSMUSG00000032902","20501"
"388","ENSMUSG00000034205","94352"
"389","ENSMUSG00000029695","30956"
"390","ENSMUSG00000051951","497097"
"391","ENSMUSG00000030613","66365"
"392","ENSMUSG00000024766","381236"
"393","ENSMUSG00000049872","103511"
"394","ENSMUSG00000032633","216805"
"395","ENSMUSG00000051279","242316"
"396","ENSMUSG00000030246","16832"
"397","ENSMUSG00000028005","54195"
"398","ENSMUSG00000027944","23897"
"399","ENSMUSG00000046324","226090"
"400","ENSMUSG00000019843","14360"
"401","ENSMUSG00000054793","260299"
"402","ENSMUSG00000041731","226041"
"403","ENSMUSG00000027199","67092"
"405","ENSMUSG00000046204","239157"
"406","ENSMUSG00000100801","727711"
"407","ENSMUSG00000032640","269941"
"408","ENSMUSG00000072294","16597"
"409","ENSMUSG00000034777","24113"
"410","ENSMUSG00000041119","18585"
"411","ENSMUSG00000027875","15360"
"412","ENSMUSG00000017697","11486"
"414","ENSMUSG00000036022","78755"
"415","ENSMUSG00000033576","71939"
"416","ENSMUSG00000025512","68038"
"417","ENSMUSG00000001131","21857"
"418","ENSMUSG00000015090","19215"
"419","ENSMUSG00000031972","11459"
"420","ENSMUSG00000030782","21804"
"421","ENSMUSG00000010097","53319"
"422","ENSMUSG00000026494","269152"
"423","ENSMUSG00000022074","21933"
"424","ENSMUSG00000075592","277154"
"425","ENSMUSG00000057897","12323"
"426","ENSMUSG00000038387","20130"
"427","ENSMUSG00000036854","243912"
"428","ENSMUSG00000040133","381413"
"429","ENSMUSG00000022103","14586"
"430","ENSMUSG00000024521","58801"
"431","ENSMUSG00000051359","52589"
"432","ENSMUSG00000034258","217721"
"433","ENSMUSG00000008540","56615"
"434","ENSMUSG00000047414","399558"
"435","ENSMUSG00000071369","26408"
"436","ENSMUSG00000027610","14854"
"437","ENSMUSG00000039842","244329"
"438","ENSMUSG00000027318","110751"
"439","ENSMUSG00000022836","107589"
"440","ENSMUSG00000029851","232748"
"441","ENSMUSG00000071657","14705"
"442","ENSMUSG00000047721","66162"
"443","ENSMUSG00000008206","67260"
"444","ENSMUSG00000054612","17314"
"445","ENSMUSG00000037613","79201"
"446","ENSMUSG00000060224","74580"
"447","ENSMUSG00000044365","319478"
"448","ENSMUSG00000097145","414108"
"449","ENSMUSG00000062937","66902"
"450","ENSMUSG00000039115","104099"
"451","ENSMUSG00000041842","229474"
"452","ENSMUSG00000021365","18003"
"453","ENSMUSG00000000184","12444"
"454","ENSMUSG00000021287","74335"
"455","ENSMUSG00000063430","320916"
"456","ENSMUSG00000009687","18301"
"457","ENSMUSG00000016386","77015"
"458","ENSMUSG00000023232","230779"
"459","ENSMUSG00000025492","66141"
"460","ENSMUSG00000055850","66510"
"461","ENSMUSG00000032766","66066"
"462","ENSMUSG00000107388","105242579"
"463","ENSMUSG00000024039","12411"
"464","ENSMUSG00000061859","12695"
"465","ENSMUSG00000043953","54199"
"466","ENSMUSG00000040747","12508"
"467","ENSMUSG00000037185","74127"
"468","ENSMUSG00000068523","14707"
"469","ENSMUSG00000054855","223881"
"470","ENSMUSG00000010663","76267"
"472","ENSMUSG00000024232","68010"
"473","ENSMUSG00000037405","15894"
"474","ENSMUSG00000070526","27412"
"475","ENSMUSG00000085028","329584"
"476","ENSMUSG00000038886","140481"
"477","ENSMUSG00000040093","171543"
"478","ENSMUSG00000058589","77531"
"480","ENSMUSG00000028078","70762"
"481","ENSMUSG00000067158","12829"
"482","ENSMUSG00000029231","18595"
"483","ENSMUSG00000031503","12827"
"484","ENSMUSG00000010051","15586"
"485","ENSMUSG00000102428","93724"
"486","ENSMUSG00000037808","72826"
"487","ENSMUSG00000025207","26456"
"488","ENSMUSG00000038552","64339"
"489","ENSMUSG00000011257","230721"
"490","ENSMUSG00000056185","225861"
"491","ENSMUSG00000022240","18163"
"492","ENSMUSG00000053825","327814"
"493","ENSMUSG00000066607","319477"
"494","ENSMUSG00000028745","12345"
"495","ENSMUSG00000040812","271813"
"496","ENSMUSG00000032085","21345"
"497","ENSMUSG00000029755","13395"
"498","ENSMUSG00000028641","56401"
"499","ENSMUSG00000031024","76954"
"500","ENSMUSG00000028517","67916"
"501","ENSMUSG00000049281","235281"
"502","ENSMUSG00000033730","13655"
"503","ENSMUSG00000004035","68312"
"504","ENSMUSG00000038859","66898"
"505","ENSMUSG00000042312","20196"
"506","ENSMUSG00000015053","14461"
"507","ENSMUSG00000017493","16010"
"508","ENSMUSG00000103088","93703"
"509","ENSMUSG00000047557","17035"
"510","ENSMUSG00000042428","17309"
"511","ENSMUSG00000043110","320974"
"512","ENSMUSG00000030530","18550"
"513","ENSMUSG00000006445","13836"
"514","ENSMUSG00000034771","21886"
"515","ENSMUSG00000041117","434130"
"516","ENSMUSG00000041324","16323"
"517","ENSMUSG00000005124","22402"
"518","ENSMUSG00000046714","14234"
"519","ENSMUSG00000056737","12332"
"520","ENSMUSG00000024222","14229"
"521","ENSMUSG00000032332","12816"
"522","ENSMUSG00000031508","102334"
"523","ENSMUSG00000025498","54123"
"524","ENSMUSG00000053675","74176"
"525","ENSMUSG00000029208","231279"
"526","ENSMUSG00000062309","102614"
"527","ENSMUSG00000022265","11732"
"528","ENSMUSG00000045868","74558"
"529","ENSMUSG00000074063","71839"
"530","ENSMUSG00000025880","17131"
"531","ENSMUSG00000040010","20539"
"532","ENSMUSG00000047909","320816"
"533","ENSMUSG00000030313","320560"
"534","ENSMUSG00000102976","70579"
"535","ENSMUSG00000121504","100043911"
"536","ENSMUSG00000102752","665574"
"537","ENSMUSG00000042029","76044"
"538","ENSMUSG00000028063","16905"
"539","ENSMUSG00000023912","74011"
"541","ENSMUSG00000055067","69726"
"542","ENSMUSG00000020644","15902"
"543","ENSMUSG00000024462","54393"
"544","ENSMUSG00000046687","432466"
"547","ENSMUSG00000042035","78908"
"548","ENSMUSG00000092341","72289"
"550","ENSMUSG00000041073","192950"
"551","ENSMUSG00000070348","12443"
"552","ENSMUSG00000047497","239337"
"553","ENSMUSG00000024486","15200"
"554","ENSMUSG00000061048","12560"
"555","ENSMUSG00000053746","329384"
"556","ENSMUSG00000011179","18263"
"557","ENSMUSG00000030654","54208"
"558","ENSMUSG00000038058","107607"
"559","ENSMUSG00000028603","20280"
"560","ENSMUSG00000054387","17248"
"561","ENSMUSG00000087455","76676"
"563","ENSMUSG00000079084","66396"
"564","ENSMUSG00000042804","100129"
"565","ENSMUSG00000004698","79221"
"566","ENSMUSG00000025743","20970"
"567","ENSMUSG00000032735","319713"
"568","ENSMUSG00000031517","234267"
"569","ENSMUSG00000058672","22151"
"570","ENSMUSG00000031066","236733"
"571","ENSMUSG00000040734","333654"
"572","ENSMUSG00000028639","22608"
"573","ENSMUSG00000026380","81879"
"574","ENSMUSG00000029714","57330"
"575","ENSMUSG00000022895","23872"
"576","ENSMUSG00000023908","268930"
"577","ENSMUSG00000097789","100039239"
"578","ENSMUSG00000070436","12406"
"579","ENSMUSG00000047307","93884"
